0,1,2,3,4,5,6,7,8
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28.0,33.76
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100.0,56.63
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3.0,7.32
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14.0,32.9
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28.0,30.57
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28.0,37.26
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28.0,39.16
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14.0,48.4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.38
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56.0,31.54
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.7
322.2,0.0,115.6,196.0,10.4,817.9,813.4,28.0,31.18
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28.0,26.15
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56.0,51.26
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100.0,44.21
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.8
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,59.49
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.18
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28.0,15.57
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28.0,21.91
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28.0,46.39
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.75
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28.0,26.97
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7.0,45.9
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0,9.73
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3.0,15.82
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56.0,39.15
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28.0,40.93
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360.0,41.24
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28.0,37.27
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3.0,23.52
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28.0,41.2
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7.0,14.6
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,29.23
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28.0,38.21
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28.0,53.52
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.74
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.49
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.7
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.75
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28.0,49.77
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100.0,66.42
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.44
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28.0,38.2
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28.0,31.27
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28.0,40.93
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28.0,28.99
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56.0,53.72
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28.0,35.31
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.46
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.9
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,13.46
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.8
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7.0,24.07
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.42
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28.0,44.28
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7.0,18.13
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56.0,44.14
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3.0,14.94
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7.0,40.29
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14.0,38.6
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.8
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28.0,44.87
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,20.28
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28.0,15.57
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100.0,53.9
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.09
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28.0,63.14
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28.0,46.25
313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28.0,41.05
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,56.34
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.62
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28.0,40.87
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,51.02
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100.0,49.99
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.03
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100.0,50.94
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3.0,12.18
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.42
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,23.35
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.7
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,33.7
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,22.93
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.49
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,13.66
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28.0,28.94
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.32
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,23.84
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,27.92
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.04
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28.0,8.54
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.32
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28.0,67.87
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.58
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.86
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.96
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,33.09
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26
273.0,105.0,82.0,210.0,9.0,904.0,680.0,28.0,37.17
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.86
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28.0,13.29
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28.0,76.24
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,31.84
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3.0,22.75
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14.0,24.66
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.07
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28.0,46.68
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28.0,37.36
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56.0,39.27
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28.0,31.03
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7.0,15.07
